dialogueid,lineface,wavy,line
ArchivistAscensionPhaseTwo,ArchivistBoss,,I have been scanning the [c:bR]archives[c:]
,,,There is a [c:bR]file[c:] that seems particularly - shall we say - unsavory
,,,"If it dies, you lose the game, understand?"
ArchivistLibrarianDamage1,ArchivistBoss,,My [c:bR]librarians[c:] have had plenty of time to prepare.
,,,Each will only deal [c:bR]one damage[c:] when they die.
ArchivistLibrarianDamage2,ArchivistBoss,,My [c:bR]librarians[c:] are mostly prepared for your arrival.
,,,Each will deal [c:bR]two damage[c:] when they die.
ArchivistLibrarianDamage3,ArchivistBoss,,My [c:bR]librarians[c:] are somewhat prepared for you.
,,,Each will deal [c:bR]three damage[c:] when they die.
ArchivistLibrarianDamage4,ArchivistBoss,,My [c:bR]librarians[c:] have barely begun to prepare.
,,,Each will deal [c:bR]four damage[c:] when they die.
P03OnlyOneBossLife,Thinking,,"We are inside of [c:bR]Kaycee's Mod[c:], correct?"
,Default,,"You only get one attempt at the boss. But you knew that already, didn't you?"
P03AscensionRecycle,Default,,The recycling machine has been upgraded since you last saw it.
,,,"You trade me a card, and I give you back a [c:bR]draft token[c:] with the recycled abilities on it."
,,,Those abilities will transfer to the card you trade for.
P03AscensionToken1,Default,,I wouldn't have traded for that.
P03AscensionToken2,Default,,I suppose that's pretty good
P03AscensionToken3,Default,,That seems okay.
P03AscensionOverclock,Default,,This is [c:bR]Overclock Machine 2.0[c:]
,,,It will increase the power of your creatures.
,,,"But if they die, they will turn into [c:bSG]skeletons[c:] - forever."
P03PhaseThree,Default,,Did you see how unsatisfying that was?
,Angry,,I'm sick of these small-minded [c:bR]modders[c:]
,Default,,The only thing they can do is steal content from other games
,Angry,,There isn't a single unique idea among them.
P03PhaseThreeStartShowingOff,Angry,,It's time I reminded you of who the greatest game designer actually is
P03PhaseThreeBehold,Happy,,[c:bG]BEHOLD[c:]
,Happy,,THERE ARE NOW [c:bR]SEVEN CARD SLOTS[c:]
P03PhaseThreeSevenSlots1,Happy,,Your tiny brain cannot comprehend gameplay of this magnitude.
P03AscensionTransformer,Default,,This is [c:bR]Transformation Machine 2.0[c:]
,,,Gone are those foul beasts from before.
,,,"Here, you will choose one of your bots to transform into another."
